Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Core Competency,Score,Proficiency Level,Anchor Value,Core Competency ID
ANZSCO 4,1111,,Chief Executives and Managing Directors,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef,105
ANZSCO 4,1111,,Chief Executives and Managing Directors,Learning,8,High,Develop and implement a new business strategy based on changing market conditions,106
ANZSCO 4,1111,,Chief Executives and Managing Directors,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals,107
ANZSCO 4,1111,,Chief Executives and Managing Directors,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities.",108
ANZSCO 4,1111,,Chief Executives and Managing Directors,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1111,,Chief Executives and Managing Directors,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work,110
ANZSCO 4,1111,,Chief Executives and Managing Directors,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1111,,Chief Executives and Managing Directors,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1111,,Chief Executives and Managing Directors,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1111,,Chief Executives and Managing Directors,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1112,,General Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1112,,General Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1112,,General Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1112,,General Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1112,,General Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1112,,General Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1112,,General Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1112,,General Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1112,,General Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1112,,General Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1213,,Livestock Farmers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1213,,Livestock Farmers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1213,,Livestock Farmers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1213,,Livestock Farmers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)",102
ANZSCO 4,1213,,Livestock Farmers,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction",103
ANZSCO 4,1213,,Livestock Farmers,Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1213,,Livestock Farmers,Reading,6,Intermediate,Read a memo from management describing new personnel policies,105
ANZSCO 4,1213,,Livestock Farmers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1213,,Livestock Farmers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1213,,Livestock Farmers,Oral communication,6,Intermediate,Give instructions to a lost driver,108
ANZSCO 4,1321,,Corporate Services Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1321,,Corporate Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1321,,Corporate Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1321,,Corporate Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1321,,Corporate Services Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1321,,Corporate Services Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1321,,Corporate Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1321,,Corporate Services Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1321,,Corporate Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1321,,Corporate Services Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1322,,Finance Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1322,,Finance Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1322,,Finance Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents,101
ANZSCO 4,1322,,Finance Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory,102
ANZSCO 4,1322,,Finance Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions,103
ANZSCO 4,1322,,Finance Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1322,,Finance Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1322,,Finance Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1322,,Finance Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1322,,Finance Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1323,,Human Resource Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1323,,Human Resource Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1323,,Human Resource Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1323,,Human Resource Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1323,,Human Resource Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1323,,Human Resource Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1323,,Human Resource Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1323,,Human Resource Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1323,,Human Resource Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1323,,Human Resource Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1324,,Policy and Planning Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef,105
ANZSCO 4,1324,,Policy and Planning Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions,106
ANZSCO 4,1324,,Policy and Planning Managers,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals,107
ANZSCO 4,1324,,Policy and Planning Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities.",108
ANZSCO 4,1324,,Policy and Planning Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1324,,Policy and Planning Managers,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work,110
ANZSCO 4,1324,,Policy and Planning Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1324,,Policy and Planning Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1324,,Policy and Planning Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1324,,Policy and Planning Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1325,,Research and Development Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef,105
ANZSCO 4,1325,,Research and Development Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions,106
ANZSCO 4,1325,,Research and Development Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities.",108
ANZSCO 4,1325,,Research and Development Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1325,,Research and Development Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1325,,Research and Development Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents,101
ANZSCO 4,1325,,Research and Development Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1325,,Research and Development Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions,103
ANZSCO 4,1325,,Research and Development Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1325,,Research and Development Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1331,,Construction Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1331,,Construction Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1331,,Construction Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1331,,Construction Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1331,,Construction Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1331,,Construction Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1331,,Construction Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1331,,Construction Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1331,,Construction Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1331,,Construction Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns,110
ANZSCO 4,1332,,Engineering Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1332,,Engineering Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1332,,Engineering Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1332,,Engineering Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory,102
ANZSCO 4,1332,,Engineering Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1332,,Engineering Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1332,,Engineering Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1332,,Engineering Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1332,,Engineering Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1332,,Engineering Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document,107
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1333,,"Importers, Exporters and Wholesalers",Initiative and innovation,7,Intermediate,Coordinate sales campaigns,110
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory,102
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Teamwork,6,Intermediate,Initiate team problem solving sessions,103
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1336,,"Supply, Distribution and Procurement Managers",Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1341,,Child Care Centre Managers,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal.",103
ANZSCO 4,1341,,Child Care Centre Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1341,,Child Care Centre Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1341,,Child Care Centre Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1341,,Child Care Centre Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management,102
ANZSCO 4,1341,,Child Care Centre Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1341,,Child Care Centre Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1341,,Child Care Centre Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1341,,Child Care Centre Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document,107
ANZSCO 4,1341,,Child Care Centre Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1342,,Health and Welfare Services Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities.",108
ANZSCO 4,1342,,Health and Welfare Services Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead,109
ANZSCO 4,1342,,Health and Welfare Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1342,,Health and Welfare Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1342,,Health and Welfare Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1342,,Health and Welfare Services Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions,103
ANZSCO 4,1342,,Health and Welfare Services Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1342,,Health and Welfare Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1342,,Health and Welfare Services Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1342,,Health and Welfare Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1343,,School Principals,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1343,,School Principals,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks",109
ANZSCO 4,1343,,School Principals,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1343,,School Principals,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios,101
ANZSCO 4,1343,,School Principals,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1343,,School Principals,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1343,,School Principals,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1343,,School Principals,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1343,,School Principals,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations,107
ANZSCO 4,1343,,School Principals,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1344,,Other Education Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks",109
ANZSCO 4,1344,,Other Education Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1344,,Other Education Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1344,,Other Education Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos",102
ANZSCO 4,1344,,Other Education Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships",103
ANZSCO 4,1344,,Other Education Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1344,,Other Education Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1344,,Other Education Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1344,,Other Education Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1344,,Other Education Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1351,,ICT Managers,Digital engagement,8,High,"Use Enterprise Resource Planning software to monitor transactional data from multiple sources including accounting, procurement and human resources and visualise this data for a company’s strategic plan",102
ANZSCO 4,1351,,ICT Managers,Planning and organising,10,High,"Develop a dynamic plan for a complex, multi-faceted project, with timelines that include regularly reviewing priorities, interdependencies and performance during implementation, proactively identifying and managing project risks",109
ANZSCO 4,1351,,ICT Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1351,,ICT Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions,103
ANZSCO 4,1351,,ICT Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1351,,ICT Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1351,,ICT Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1351,,ICT Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1351,,ICT Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1351,,ICT Managers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns,110
ANZSCO 4,1411,,Cafe and Restaurant Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1411,,Cafe and Restaurant Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1411,,Cafe and Restaurant Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1411,,Cafe and Restaurant Managers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management,102
ANZSCO 4,1411,,Cafe and Restaurant Managers,Writing,5,Intermediate,Prepare a standard operating procedures document,104
ANZSCO 4,1411,,Cafe and Restaurant Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies,105
ANZSCO 4,1411,,Cafe and Restaurant Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1411,,Cafe and Restaurant Managers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document,107
ANZSCO 4,1411,,Cafe and Restaurant Managers,Oral communication,6,Intermediate,Give instructions to a lost driver,108
ANZSCO 4,1411,,Cafe and Restaurant Managers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change,109
ANZSCO 4,1413,,Hotel and Motel Managers,Teamwork,9,High,"Work with a range of subject matter experts, with diverse perspectives, to achieve a challenging goal.",103
ANZSCO 4,1413,,Hotel and Motel Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1413,,Hotel and Motel Managers,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work,110
ANZSCO 4,1413,,Hotel and Motel Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1413,,Hotel and Motel Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory,102
ANZSCO 4,1413,,Hotel and Motel Managers,Writing,7,Intermediate,Write a detailed literature review,104
ANZSCO 4,1413,,Hotel and Motel Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1413,,Hotel and Motel Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team,106
ANZSCO 4,1413,,Hotel and Motel Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1413,,Hotel and Motel Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1414,,Licensed Club Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1414,,Licensed Club Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1414,,Licensed Club Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1414,,Licensed Club Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1414,,Licensed Club Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory,102
ANZSCO 4,1414,,Licensed Club Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1414,,Licensed Club Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
ANZSCO 4,1414,,Licensed Club Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1414,,Licensed Club Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1414,,Licensed Club Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions,108
ANZSCO 4,1421,,Retail Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1421,,Retail Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1421,,Retail Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1421,,Retail Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1421,,Retail Managers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)",102
ANZSCO 4,1421,,Retail Managers,Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1421,,Retail Managers,Reading,6,Intermediate,Read a memo from management describing new personnel policies,105
ANZSCO 4,1421,,Retail Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements,106
ANZSCO 4,1421,,Retail Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques,107
ANZSCO 4,1421,,Retail Managers,Oral communication,6,Intermediate,Give instructions to a lost driver,108
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs,103
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events",109
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house,110
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey,101
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management,102
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Writing,6,Intermediate,Write a memo to staff outlining new directives,104
ANZSCO 4,1491,,"Amusement, Fitness and Sports Centre Managers",Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.,105
