Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 4,1343,,School Principals,Enterprise resource planning ERP software,,31025
ANZSCO 4,1343,,School Principals,Project management software,,31056
ANZSCO 4,1343,,School Principals,Database management software,,31017
ANZSCO 4,1343,,School Principals,Education and learning management systems,,31021
ANZSCO 4,1343,,School Principals,Social media platforms,Emerging,31063
ANZSCO 4,1344,,Other Education Managers,Social media platforms,Emerging,31063
ANZSCO 4,1344,,Other Education Managers,Education and learning management systems,,31021
ANZSCO 4,1344,,Other Education Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1344,,Other Education Managers,Statistical and data analysis software,,31066
ANZSCO 4,1344,,Other Education Managers,Project management software,,31056
ANZSCO 4,1351,,ICT Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1351,,ICT Managers,Project management software,,31056
ANZSCO 4,1351,,ICT Managers,Business intelligence and decision support software,Trending,31010
ANZSCO 4,1351,,ICT Managers,Software development and programming languages,,31064
ANZSCO 4,1351,,ICT Managers,Content workflow software,Trending,31013
ANZSCO 4,1351,,ICT Managers,Customer relationship management CRM software,Trending,31015
ANZSCO 4,1351,,ICT Managers,Network security and virtual private network VPN software,Trending,31049
ANZSCO 4,1351,,ICT Managers,Statistical and data analysis software,,31066
ANZSCO 4,1411,,Cafe and Restaurant Managers,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 4,1411,,Cafe and Restaurant Managers,Accounting software,,31001
ANZSCO 4,1411,,Cafe and Restaurant Managers,Business intelligence and decision support software,,31010
ANZSCO 4,1411,,Cafe and Restaurant Managers,Graphics or photo imaging software,,31033
ANZSCO 4,1411,,Cafe and Restaurant Managers,Inventory management software,,31039
ANZSCO 4,1411,,Cafe and Restaurant Managers,Social media platforms,Trending,31063
ANZSCO 4,1411,,Cafe and Restaurant Managers,Software development and programming languages,,31064
ANZSCO 4,1413,,Hotel and Motel Managers,Social media platforms,,31063
ANZSCO 4,1413,,Hotel and Motel Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1413,,Hotel and Motel Managers,Hotel and property management systems,,31034
ANZSCO 4,1413,,Hotel and Motel Managers,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 4,1413,,Hotel and Motel Managers,Premise automated branch exchange (PABX) systems,,31055
ANZSCO 4,1414,,Licensed Club Managers,Hotel and property management systems,Trending,31034
ANZSCO 4,1421,,Retail Managers,Social media platforms,,31063
ANZSCO 4,1421,,Retail Managers,Customer relationship management CRM software,,31015
ANZSCO 4,1421,,Retail Managers,Financial analysis software,,31029
ANZSCO 4,1421,,Retail Managers,Enterprise resource planning ERP software,,31025
ANZSCO 4,1421,,Retail Managers,Project management software,,31056
