Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 6,232412,,Illustrator,"Plans, designs, develops, and prepares pictures and diagrams to communicate messages, clarify meaning, assist in presentations and illustrate stories, using traditional and digital media such as drawing, painting, drafting, collage, models, photography, and image capture and manipulation software."
ANZSCO 6,232413,,Multimedia Designer,"Plans, designs and develops the production of digitally delivered information, promotional content, instructional material and entertainment through online and recorded digital media using static and animated information, text, pictures, video and sound to produce information and entertainment tailored to an intended audience and purpose."
ANZSCO 6,232414,,Web Designer,"Plans, designs, develops and prepares information for Internet publication with particular emphasis on the user interface, ease of navigation and location of information using text, pictures, animation, sound, colours, layout and data sources to deliver information tailored to an intended audience and purpose."
ANZSCO 6,232511,,Interior Designer,"Plans, designs, details and supervises the construction of commercial, industrial, retail and residential building interiors to produce an environment tailored to a purpose, with particular emphasis on space creation, space planning, and factors that enhance living and working environments."
ANZSCO 6,232611,,Urban and Regional Planner,"Develops and implements plans and policies for the controlled use of urban and rural land, and advises on economic, environmental and social factors affecting land use."
ANZSCO 6,233111,,Chemical Engineer,"Designs and prepares specifications for chemical process systems and the construction and operation of commercial-scale chemical plants, and supervises industrial processing and fabrication of products undergoing physical and chemical changes. Registration or licensing may be required."
ANZSCO 6,233112,,Materials Engineer,"Investigates the properties of metals, ceramics, polymers and other materials and assesses and develops their engineering and commercial applications. Registration or licensing may be required."
ANZSCO 6,233211,,Civil Engineer,"Plans, designs, organises and oversees the construction and operation of dams, bridges, pipelines, gas and water supply schemes, sewerage systems, airports and other civil engineering projects. Registration or licensing may be required."
ANZSCO 6,233212,,Geotechnical Engineer,"Plans, directs and conducts survey work to analyse the likely behaviour of soil and rock when placed under pressure by proposed structures, and designs above and below ground foundations. Registration or licensing may be required."
ANZSCO 6,233213,,Quantity Surveyor,"Estimates and monitors construction costs from the project feasibility stage, through tender preparation, to the construction period and beyond. Registration or licensing may be required."
ANZSCO 6,233214,,Structural Engineer,"Analyses the statical properties of all types of structures, tests the behaviour and durability of materials used in their construction, and designs and supervises the construction of all types of structures. Registration or licensing may be required."
ANZSCO 6,233215,,Transport Engineer,Plans and develops transport systems to improve infrastructure efficiency and the cost effectiveness of moving people and freight. Registration or licensing may be required.
ANZSCO 6,233311,,Electrical Engineer,"Designs, develops and supervises the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power. Registration or licensing may be required."
ANZSCO 6,233411,,Electronics Engineer,"Designs, develops, adapts, installs, tests and maintains electronic components, circuits and systems used for computer, communication, command and warfare systems, entertainment, transport and other industrial applications. Registration or licensing may be required."
ANZSCO 6,233511,,Industrial Engineer,"Investigates and reviews the logistics and utilisation of personnel, facilities, equipment and materials, current operational processes and established practices, to recommend improvement in the quality and efficiency of operations in a variety of commercial, industrial and production environments. Registration or licensing may be required."
ANZSCO 6,233512,,Mechanical Engineer,"Plans, designs, organises and oversees the assembly, erection, commissioning, operation and maintenance of mechanical and process plant and installations. Registration or licensing may be required."
ANZSCO 6,233513,,Production or Plant Engineer,"Plans, directs and coordinates the design, construction, modification, continued performance and maintenance of equipment and machines in industrial plants, and the management and planning of manufacturing activities. Registration or licensing may be required."
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Plans and directs the engineering aspects of locating and extracting minerals from the earth. Registration or licensing may be required.
ANZSCO 6,233612,,Petroleum Engineer,Plans and directs the engineering aspects of locating and extracting petroleum or natural gas from the earth. Registration or licensing may be required.
ANZSCO 6,233911,,Aeronautical Engineer,"Performs and supervises engineering work concerned with the design, development, manufacture, maintenance and modification of aircraft for flight. Registration or licensing may be required."
ANZSCO 6,233913,,Biomedical Engineer,"Applies knowledge and methodology of physics, engineering, mathematics, computing, physical chemistry and materials science to problems in biology and the treatment and prevention of human disease. Registration or licensing may be required."
ANZSCO 6,233914,,Engineering Technologist,Analyses and modifies new and existing engineering technologies and applies them in the testing and implementation of engineering projects. Registration or licensing may be required.
ANZSCO 6,233915,,Environmental Engineer,"Assesses the impact on air, water, soil and noise levels in the vicinity of engineering projects, plans and designs equipment and processes for the treatment and safe disposal of waste material, and assesses what may cause problems for the environment in the long-term. Registration or licensing may be required."
ANZSCO 6,233916,,Naval Architect / Marine Designer,Designs and oversees the construction and repair of marine craft and floating structures. Registration or licensing may be required.
ANZSCO 6,234211,,Chemist,"Studies the chemical and physical properties of substances, and develops and monitors chemical processes and production."
ANZSCO 6,234212,,Food Technologist,"Develops new and improves existing food products, and sets standards for producing, packaging and marketing food."
ANZSCO 6,234213,,Wine Maker,"Plans, supervises and coordinates the production of wine or spirits from selected varieties of grapes."
ANZSCO 6,234311,,Conservation Officer,"Develops and implements programs and regulations for the protection of fish, wildlife and other natural resources."
ANZSCO 6,234312,,Environmental Consultant,"Analyses and advises on policies guiding the design, implementation and modification of government or commercial environmental operations and programs."
ANZSCO 6,234313,,Environmental Research Scientist,"Studies and develops policies and plans for the control of factors which may produce pollution, imbalance in or degradation of the environment."
ANZSCO 6,234314,,Park Ranger,"Assists in controlling a State or national park, scenic area, historic site, nature reserve, recreation area or conservation reserve in accordance with authorised policies and priorities."
ANZSCO 6,234511,,Life Scientist (General),"Studies the origin, anatomy, physiology, reproduction and behaviour of living organisms and the ways in which they interact with the environment in which they live."
ANZSCO 6,234513,,Biochemist,Studies the biochemistry of living organisms and the molecular structure and function of related components.
ANZSCO 6,234514,,Biotechnologist,"Studies the anatomy, physiology and characteristics of living organisms and isolated biological molecules, and develops new materials for applying to a range of purposes."
ANZSCO 6,234515,,Botanist,"Studies the anatomy, physiology, biochemistry and ecology of plants."
ANZSCO 6,234517,,Microbiologist,"Studies microscopic forms of life such as bacteria, viruses and protozoa."
ANZSCO 6,234522,,Zoologist,"Studies the anatomy, physiology, characteristics, ecology, behaviour, and environments of animals."
ANZSCO 6,234611,,Medical Laboratory Scientist,"Conducts medical laboratory tests to assist in the diagnosis, treatment and prevention of disease. Registration or licensing is required."
ANZSCO 6,234612,,Respiratory Scientist,"Conducts lung function tests to support the diagnosis and treatment of respiratory and sleep disorders, in consultation with other medical professionals."
ANZSCO 6,234711,,Veterinarian,"Diagnoses, treats and prevents animal diseases, ailments and injuries. Registration or licensing is required."
ANZSCO 6,234911,,Conservator,"Plans and organises the conservation of materials and objects in libraries, archives, museums, art galleries and other institutions."
ANZSCO 6,234912,,Metallurgist,"Researches, develops, tests, controls and provides advice on processes used in extracting metals from their ores, and processes used for casting, alloying, heat treating or welding refined metals, alloys and other materials to produce commercial metal products or develop new alloys, techniques and processes.  Registration or licensing may be required."
ANZSCO 6,234913,,Meteorologist,"Studies the physics and dynamics of the atmosphere to increase understanding of weather and climate, and to forecast changes in the weather and long-term climatic trends."
ANZSCO 6,234914,,Physicist,"Studies matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena to further understanding of the laws governing the behaviour of the universe, and seeks to apply these laws to solve practical problems and discover new information about the earth and the universe."
ANZSCO 6,241111,,Early Childhood (Pre-primary School) Teacher,"Plans, organises and conducts activities to help pre-primary school students to develop a wide variety of skills including speech, reading, writing, motor skills and social interaction. Registration or licensing is required."
ANZSCO 6,241213,,Primary School Teacher,Teaches and coordinates a range of subjects within a prescribed curriculum to primary school students. Registration or licensing is required.
ANZSCO 6,241311,,Middle School Teacher / Intermediate School Teacher,"Teaches one or more subjects within a prescribed curriculum to middle school or intermediate school students and promotes students' social, emotional, intellectual and physical development. Registration or licensing is required."
ANZSCO 6,241411,,Secondary School Teacher,"Teaches one or more subjects within a prescribed curriculum to secondary school students and promotes students' social, emotional, intellectual and physical development. Registration or licensing is required."
ANZSCO 6,242111,,University Lecturer,Lectures students and conducts tutorials in one or more subjects within a prescribed course of study at a university and conducts research in a particular field of knowledge.
ANZSCO 6,242112,,University Tutor,Conducts tutorials in one or more subjects within a prescribed course of study at a university.
ANZSCO 6,242211,,Vocational Education Teacher / Polytechnic Teacher,"Teaches one or more subjects within a prescribed course of study at a technical and further education (TAFE) institute, polytechnic or other training institute to tertiary students for vocational education and training purposes. Registration or licensing may be required"
ANZSCO 6,249212,,Dance Teacher (Private Tuition),"Teaches students in the practice, theory and performance of dance in private training establishments."
ANZSCO 6,249214,,Music Teacher (Private Tuition),"Teaches students in the practice, theory and performance of music in private training establishments."
ANZSCO 6,251111,,Dietitian,"Applies the science of human nutrition to help people understand the relationship between food and health and make appropriate dietary choices to attain and maintain health, and to prevent and treat illness and disease."
ANZSCO 6,251112,,Nutritionist,"Integrates, disseminates and applies knowledge drawn from the relevant sciences to enhance positive effects of food on the health and well-being of human populations."
ANZSCO 6,251211,,Medical Diagnostic Radiographer,Operates X-ray and other medical imaging equipment to produce images for medical diagnostic purposes in conjunction with Diagnostic and Interventional Radiologists or other Medical Practitioners. Registration or licensing is required.
ANZSCO 6,251212,,Medical Radiation Therapist,Operates high energy X-ray and other radiation and electron generating and monitoring equipment to administer radiation treatment for medical purposes in conjunction with Radiation Oncologists or other specialist Medical Practitioners. Registration or licensing is required.
ANZSCO 6,251213,,Nuclear Medicine Technologist,"Performs or assists in performing diagnostic examinations using radionuclides and radiopharmaceuticals, and administers radionuclides and radiopharmaceuticals for therapeutic purposes under the direction of specialist Medical Practitioners. Registration or licensing is required."
ANZSCO 6,251214,,Sonographer,"Operates ultrasound equipment to acquire, interpret and selectively record anatomical images, physical data and real-time physiological information for medical diagnostic purposes in conjunction with Medical Practitioners."
ANZSCO 6,251311,,Environmental Health Officer,"Develops, enforces and evaluates environmental health policies, programs and strategies to improve health outcomes, and oversees the implementation and monitoring of environmental health legislation. Registration or licensing may be required."
ANZSCO 6,251312,,Occupational Health and Safety Adviser,"Develops, implements and evaluates risk management policies and programs, trains employees in occupational health and safety procedures, monitors and audits the workplace, and records and investigates incidents to ensure safe and healthy working conditions."
ANZSCO 6,251411,,Optometrist,"Performs eye examinations and vision tests to determine the presence of visual, ocular and other abnormalities, ocular diseases and systemic diseases with ocular manifestations, and prescribes lenses, other optical aids, therapy and medication to correct and manage vision problems and eye diseases. Registration or licensing is required."
ANZSCO 6,251412,,Orthoptist,Diagnoses and manages eye movement disorders and associated sensory deficiencies. Registration or licensing may be required.
ANZSCO 6,251511,,Hospital Pharmacist,"Prepares and dispenses pharmaceuticals, drugs and medicines in a hospital pharmacy. Registration or licensing is required."
ANZSCO 6,251513,,Retail Pharmacist,"Dispenses prescribed pharmaceuticals to the public, educates customers on health promotion, disease prevention and the proper use of medicines, and sells non-prescription medicines and related goods in a community pharmacy. Registration or licensing is required."
ANZSCO 6,251911,,Health Promotion Officer,"Assists health and community groups to improve the health of individuals and the community by raising awareness of healthy lifestyles, disease and disability, and other health-related issues."
ANZSCO 6,251912,,Orthotist or Prosthetist,"Designs, builds, fits and repairs splints, braces, callipers, artificial limbs and related appliances to restore function or compensate for muscular and skeletal disabilities. Registration or licensing may be required."
ANZSCO 6,252211,,Acupuncturist,Treats disorders and illnesses by stimulating the body's defence mechanisms through inserting fine needles into the skin. Registration or licensing may be required.
ANZSCO 6,252213,,Naturopath,"Treats internal health problems, metabolic disorders and imbalances through treatment of the whole person using natural therapies. Registration or licensing may be required."
ANZSCO 6,252411,,Occupational Therapist,"Assesses functional limitations of people resulting from illnesses and disabilities, and provides therapy to enable people to perform their daily activities and occupations. Registration or licensing is required."
ANZSCO 6,252511,,Physiotherapist,"Assesses, treats and prevents disorders in human movement caused by injury or disease. Registration or licensing is required."
ANZSCO 6,252611,,Podiatrist,"Prevents, diagnoses and treats disorders of the feet. Registration or licensing is required."
ANZSCO 6,252711,,Audiologist,Provides diagnostic assessment and rehabilitative services related to human hearing defects.
ANZSCO 6,252712,,Speech Pathologist / Speech Language Therapist,"Provides diagnostic assessment and management of disorders of communication and swallowing through direct intervention, education, consultancy, advocacy, or a combination of these approaches."
ANZSCO 6,253111,,General Practitioner,"Diagnoses, treats and prevents human physical and mental disorders and injuries. Registration or licensing is required."
ANZSCO 6,253112,,Resident Medical Officer,"Diagnoses, treats and prevents human physical and mental disorders and injuries under the supervision of medical specialists or senior general practitioners. Registration or licensing is required."
ANZSCO 6,253211,,Anaesthetist,"Provides direct medical care to patients requiring general or local anaesthesia for surgical, diagnostic and other procedures such as prevention of pain and maintenance of body function. Registration or licensing is required."
ANZSCO 6,253317,,Intensive Care Specialist,"Investigates, diagnoses and treats patients in need of intensive and critical care. Registration or licensing is required."
ANZSCO 6,253318,,Neurologist,"Investigates, diagnoses and treats diseases and injuries of the human brain, spinal cord, nervous system and muscle tissue. Registration or licensing is required."
ANZSCO 6,253321,,Paediatrician,"Investigates, diagnoses and treats internal diseases and disorders in children from birth up to, and including, adolescence. Registration or licensing is required."
ANZSCO 6,253324,,Thoracic Medicine Specialist,"Investigates, diagnoses and treats diseases and disorders of the human respiratory system. Registration or licensing is required."
ANZSCO 6,253411,,Psychiatrist,"Diagnoses, assesses, treats and prevents human mental, emotional and behavioural disorders. Registration or licensing is required."
ANZSCO 6,253911,,Dermatologist,"Provides diagnostic, treatment and preventative medical services related to disorders of the human skin. Registration or licensing is required."
ANZSCO 6,253912,,Emergency Medicine Specialist,"Provides diagnostic medical services, and manages patients with acute and urgent illness and injury. Registration or licensing is required."
ANZSCO 6,253913,,Obstetrician and Gynaecologist,"Provides diagnostic, treatment and preventative medical and surgical services related to the care of women, foetuses and children during pregnancy and childbirth, and to disorders of the female genital, urinary, rectal and reproductive organs. Registration or licensing is required."
ANZSCO 6,253914,,Ophthalmologist,"Provides diagnostic, treatment and preventative medical services related to diseases, injuries and deficiencies of the human eye and associated structures. Registration or licensing is required."
ANZSCO 6,253915,,Pathologist,"Identifies the cause and processes of disease and illness by examining changes in body tissue and in blood and other body fluids, and conducts tests on samples of tissues, blood and body secretions. Registration or licensing is required."
ANZSCO 6,253917,,Diagnostic and Interventional Radiologist,"Provides diagnostic and treatment medical services, and monitors patients with various diseases utilising imaging techniques such as general radiography, angiography, fluoroscopy, mammography, ultrasound, computed tomography, magnetic resonance imaging, nuclear medicine and bone densitometry. Registration or licensing is required."
ANZSCO 6,254111,,Midwife,"Provides care and advice to women during pregnancy, labour and childbirth, and postnatal care for women and babies in a range of settings such as the home, community, hospitals, clinics and health units. Registration or licensing is required."
ANZSCO 6,254211,,Nurse Educator,"Designs, plans, implements and evaluates the delivery of nursing education and staff development programs, and manages educational resources."
ANZSCO 6,254212,,Nurse Researcher,"Designs, conducts and evaluates nursing and interdisciplinary research projects, and promotes the implementation of research findings into clinical nursing practice."
ANZSCO 6,254311,,Nurse Manager,"Manages a health service unit or sub-unit of a hospital, aged care or community health care facility, supervises nursing staff and financial resources to enable the provision of safe, cost effective nursing care within a specified field or for a particular unit, and monitors quality, clinical standards and professional development of nurses. Registration or licensing is required."
ANZSCO 6,254411,,Nurse Practitioner,"Provides advanced and extended nursing care to patients, such as ordering diagnostic tests, undertaking diagnosis and health assessments, prescribing patient care management, medicines and therapies, as authorised in relevant nursing legislation, and referring to specialist Medical Practitioners and other Health Professionals in a range of health, welfare and community settings. Registration or licensing is required."
ANZSCO 6,254412,,Registered Nurse (Aged Care),"Provides nursing care to the elderly in community settings, residential aged care facilities, retirement villages and health care facilities. Registration or licensing is required."
ANZSCO 6,254413,,Registered Nurse (Child and Family Health),"Provides nursing care to children from birth to school age and their families with an emphasis on the prevention, early detection of, and early intervention in, physical, emotional and social problems affecting children and their families such as assistance with parentcraft, immunisation and developmental milestones. Registration or licensing is required."
ANZSCO 6,254414,,Registered Nurse (Community Health),"Provides nursing care, health counselling, screening and education to individuals, families and groups in the wider community with a focus on patient independence and health promotion. Registration or licensing is required."
ANZSCO 6,254415,,Registered Nurse (Critical Care and Emergency),"Provides nursing care to critically ill patients and patients with unstable health following injury, surgery or during the acute phase of diseases, integrating new technological equipment into care in settings such as high dependency units, intensive care units, emergency departments or retrieval services. Registration or licensing is required."
ANZSCO 6,254416,,Registered Nurse (Developmental Disability),"Provides nursing care to people with intellectual and development disabilities in a range of health, welfare and community settings. Registration or licensing is required."
ANZSCO 6,254417,,Registered Nurse (Disability and Rehabilitation),"Provides nursing care to patients recovering from injury and illness, and assists and facilitates patients with disabilities to live more independently. Registration or licensing is required."
ANZSCO 6,254418,,Registered Nurse (Medical),"Provides nursing care to patients with conditions, such as infections, metabolic disorders and degenerative conditions, which require medical intervention in a range of health, aged care and community settings. Registration or licensing is required."
ANZSCO 6,254421,,Registered Nurse (Medical Practice),"Provides clinical care to patients, undertakes clinical organisation and practice administration, and facilitates communication within a general practice environment and between the practice and outside organisations and individuals. Registration or licensing is required."
ANZSCO 6,254422,,Registered Nurse (Mental Health),"Provides nursing care to patients with mental health illness, disorder and dysfunction, and those experiencing emotional difficulties, distress and crisis in health, welfare and aged care facilities, correctional services and the community. Registration or licensing is required."
ANZSCO 6,254423,,Registered Nurse (Perioperative),"Provides nursing care to patients before, during and immediately after surgery, assesses patients' condition, plans nursing care for surgical intervention, maintains a safe and comfortable environment, assists Surgeons and Anaesthetists during surgery, and monitors patients' recovery from anaesthetic, prior to return to, or discharge from, ward. Registration or licensing is required."
ANZSCO 6,254424,,Registered Nurse (Surgical),Provides nursing care to patients with injuries and illness that require surgical intervention. Registration or licensing is required.
ANZSCO 6,254425,,Registered Nurse (Paediatrics),"Provides nursing care to children of all ages, including neonates, across a range of health and community settings with an emphasis on assessing children’s acute and ongoing needs while taking into account physical, social, cultural and family circumstances. Registration or licensing is required."
ANZSCO 6,261113,,User Experience Designer (ICT),"A User Experience Designer (ICT) is involved in the end to end development process. This includes user research and consultation, strategy, design, branding, usability, function and testing. User Experience Designers predominantly work with digital tools, such as apps and websites."
ANZSCO 6,261211,,Multimedia Specialist,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for CD-ROMs, information kiosks, multimedia presentations, websites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products."
ANZSCO 6,261212,,Web Developer,"Plans, produces and maintains websites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT Professionals such as Business Analysts, Web Designers and network and usability specialists."
ANZSCO 6,261311,,Analyst Programmer,"Analyses user needs, produces requirements documentation and system plans, and encodes, tests, debugs, maintains and documents programs and applications."
ANZSCO 6,261312,,Developer Programmer,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications, including cyber security, from a business functional model, and tests and writes technical documentation."
ANZSCO 6,261313,,Software Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports software applications and systems."
ANZSCO 6,261314,,Software Tester,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of computer software, and documents the results of tests in defect reports and related documentation. It excludes testing of technical security controls."
ANZSCO 6,261315,,Cyber Security Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports cybersecurity software applications and systems; ensures they are fully integrated."
ANZSCO 6,261316,,DevOps Engineer,"Facilitate and undertake communication, collaboration, integration and automation to improve efficiency and workflow across different specialist IT teams."
ANZSCO 6,261317,,Penetration Tester,"Creates test cases using in-depth technical analysis of risks and typical vulnerabilities and produces test scripts, materials and packs to test new and existing software or services, plans, coordinates and conducts cyber threat emulation activities in support of certification, accreditation, and operational priorities to verify deficiencies in technical security controls."
ANZSCO 6,262111,,Database Administrator,"Plans, develops, configures, maintains and supports an organisation's database management system in accordance with user requirements ensuring optimal database integrity, security, backup, reliability and performance."
ANZSCO 6,262113,,Systems Administrator,"Plans, develops, installs, troubleshoots, maintains and supports an operating system and associated server hardware, software and databases ensuring optimum system integrity, security, backup and performance."
ANZSCO 6,262114,,Cyber Governance Risk and Compliance Specialist,"Lead the governance, risk and compliance for cyber security."
ANZSCO 6,262115,,Cyber Security Advice and Assessment Specialist,"Conduct risk and security control assessments, interpret security policy and contribute to the development of standards and guidelines, review information system designs, provide guidance on security strategies to manage identified risks, provide specialist advice, explain systems security and the strengths and weaknesses."
ANZSCO 6,262116,,Cyber Security Analyst,"Analyses and assesses vulnerabilities in the infrastructure (software, hardware, networks), investigates available tools and countermeasures to remedy the detected vulnerabilities, and recommends solutions and best practices. Analyses and assesses damage to the data/infrastructure as a result of security incidents, examines available recovery tools and processes, and recommends solutions."
ANZSCO 6,262117,,Cyber Security Architect,Designs a security system or major components of a security system and may head a security design team building a new security system.
ANZSCO 6,262118,,Cyber Security Operations Coordinator,"Leads the coordination, and response to complex cyber security incidents and hunt investigations, manage tasks across various teams for incident response and hunt operations, advise leadership on current operational collaborations and contribute toward strategic planning, facilitate incident response engagements, assess technical information to develop key messaging."
ANZSCO 6,263111,,Computer Network and Systems Engineer,"Plans, develops, deploys, tests and optimises network and system services, taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault-finding services for network problems."
ANZSCO 6,263112,,Network Administrator,"Installs and maintains hardware and software, documents diagnosis and resolution of faults, manages user passwords, security and inventory documentation, ensures the efficient performance of servers, printers and personal computers, and attends to other operational tasks. May also perform tasks such as help desk support and user training."
ANZSCO 6,263113,,Network Analyst,"Researches and analyses network architecture, and recommends policies and strategies for designing, planning and coordinating an organisation's network such as the total system environment and architecture. May also perform operational tasks such as monitoring system performance, software and hardware upgrades, backups, support and network maintenance."
ANZSCO 6,263211,,ICT Quality Assurance Engineer,"Creates, maintains and manages technical quality assurance processes and procedures to assess efficiency, validity, value and functional performance of computer systems and environments, and audits systems to ensure compliance with, and adherence to, accredited internal and external industry quality standards and regulations. May supervise the work of ICT quality assurance teams."
ANZSCO 6,263212,,ICT Support Engineer,"Develops support procedures and strategies for systems, networks, operating systems and applications development, solves problems and provides technical expertise and direction in support of system infrastructure and process improvements, and diagnoses and resolves complex system problems."
ANZSCO 6,263213,,ICT Systems Test Engineer,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of systems, and documents the results of tests in defect reports and related documentation."
ANZSCO 6,271111,,Barrister,"Pleads cases before civil, criminal and industrial courts and other tribunals. Registration or licensing is required."
ANZSCO 6,271311,,Solicitor,"Provides legal advice, prepares and drafts legal documents, and conducts negotiations on behalf of clients on matters associated with the law. Registration or licensing is required."
ANZSCO 6,272111,,Careers Counsellor,Provides individuals and groups with information about career choices and assists individuals with self-development.
ANZSCO 6,272112,,Drug and Alcohol Counsellor,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre."
ANZSCO 6,272113,,Family and Marriage Counsellor,"Assists individuals, couples and families with marriage and relationship difficulties. May work in a call centre."
ANZSCO 6,272114,,Rehabilitation Counsellor,"Assists physically, mentally and socially disadvantaged people to reintegrate into work and the community."
ANZSCO 6,272115,,Student Counsellor,"Provides information and assistance to students, parents and teachers about a wide range of matters such as students' personal problems, learning difficulties and special requirements."
ANZSCO 6,272211,,Minister of Religion,"Performs spiritual functions associated with beliefs and practices of a religious faith, and provides motivation, guidance and training in religious life for the people of a congregation or parish, and the wider community. This occupation requires high levels of personal commitment and interest as well as, or in place of, formal qualifications or experience. Registration or licensing may be required."
ANZSCO 6,272311,,Clinical Psychologist,"Consults with individuals and groups, assesses psychological disorders and administers programs of treatment. Registration or licensing is required."
ANZSCO 6,272312,,Educational Psychologist,"Investigates learning and teaching, and develops psychological techniques to foster the development and skills of individuals and groups in educational settings. Registration or licensing is required."
ANZSCO 6,272313,,Organisational Psychologist,"Applies psychological principles and techniques to study occupational behaviour, working conditions and organisational structure, and solve problems of work performance and organisational design. Registration or licensing is required."
ANZSCO 6,272411,,Historian,Researches the history of human activity and prepares accounts of findings.
ANZSCO 6,272412,,Interpreter,"Transfers a spoken or signed language into another spoken or signed language, usually within a limited time frame in the presence of the participants requiring the translation."
ANZSCO 6,272413,,Translator,"Transfers a source text from one language into another, usually within an extended time frame to allow for corrections and modifications and without the presence of the participants requiring the translation."
ANZSCO 6,272511,,Social Worker,"Assesses the social needs of individuals, families and groups, assists and empowers people to develop and use the skills and resources needed to resolve social and other problems, and furthers human wellbeing and human rights, social justice and social development. Registration or licensing may be required."
ANZSCO 6,272612,,Recreation Officer / Recreation Coordinator,"Plans, organises and coordinates recreation facilities and programs through organisations such as local governments, schools, church bodies and youth organisations."
ANZSCO 6,272613,,Welfare Worker,"Assists individuals, families and groups with social, emotional or financial difficulties to improve quality of life, by educating and supporting them and working towards change in their social environment."
ANZSCO 6,311211,,Anaesthetic Technician,"Prepares and maintains anaesthetic equipment for operating theatres or clinics, and assists Anaesthetists during anaesthetic procedures."
ANZSCO 6,311212,,Cardiac Technician,"Conducts tests on patients to record heart activity using specialised equipment, recording devices and laboratory instruments in support of Cardiologists and other Medical Practitioners engaged in diagnosing, monitoring and treating heart disease."
ANZSCO 6,311213,,Medical Laboratory Technician,Performs routine medical laboratory tests and operates diagnostic laboratory equipment under the supervision of Medical Laboratory Scientists and Pathologists. Registration or licensing may be required.
ANZSCO 6,311214,,Operating Theatre Technician,"Prepares and maintains an operating theatre and its equipment, assists the surgical team during operations and provides support to patients in the recovery room."
ANZSCO 6,311215,,Pharmacy Technician,"Fills and labels patients' prescriptions under the supervision of a Pharmacist. May record details of, place orders for, take stock of, and store medications and medical supplies and deliver them to patients."
ANZSCO 6,311216,,Pathology Collector / Phlebotomist,"Extracts, collects, labels and preserves blood and other specimens from patients for laboratory analysis."
ANZSCO 6,311217,,Respiratory Technician,Performs routine lung function tests; uses and maintains diagnostic equipment under the supervision of Respiratory Scientists. Monitors patients on ventilation or those undergoing sleep studies.
ANZSCO 6,311411,,Chemistry Technician,"Performs laboratory tests on organic and inorganic chemicals, analyses test data and carries out technical functions in support of Chemists or Chemical Engineers in a wide variety of areas such as fuels, agricultural products, food, pharmaceuticals, paints, metals, plastics, textiles, detergents, paper, fertilisers and cosmetics."
ANZSCO 6,311412,,Earth Science Technician,"Collects and tests earth and water samples, records observations and analyses data in support of Geologists or Geophysicists"
ANZSCO 6,311413,,Life Science Technician,Identifies and collects living organisms and conducts field and laboratory studies in support of Life Scientists or Environmental Scientists.
ANZSCO 6,312111,,Architectural Draftsperson,"Completes Architects' concepts by preparing drawings and plans, and liaising with builders and contractors."
ANZSCO 6,312112,,Building Associate,"Supervises construction sites, and organises and coordinates the material and human resources required. Registration or licensing may be required."
ANZSCO 6,312113,,Building Inspector,Inspects buildings to ensure compliance with laws and regulations and advises on building requirements. Registration or licensing may be required.
ANZSCO 6,312114,,Construction Estimator,Prepares and delivers estimates and cost plans for construction projects up to the tender settlement stage.
ANZSCO 6,312116,,Surveying or Spatial Science Technician,"Collects, records and evaluates spatial information and prepares databases, maps, charts and plans in support of Surveyors, Cartographers or Other Spatial Scientists. Registration or licensing may be required."
ANZSCO 6,312211,,Civil Engineering Draftsperson,Prepares detailed drawings and plans for civil engineering work in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required.
ANZSCO 6,312212,,Civil Engineering Technician,"Conducts tests of construction materials, prepares sketches and tabulations, and assists in estimating costs in support of Civil Engineering Professionals and Engineering Technologists. Registration or licensing may be required."
ANZSCO 6,312311,,Electrical Engineering Draftsperson,Prepares detailed drawings and plans of electrical installations and circuitry in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required.
ANZSCO 6,312312,,Electrical Engineering Technician,"Conducts tests of electrical systems, prepares charts and tabulations, and assists in estimating costs in support of Electrical Engineers and Engineering Technologists. Registration or licensing may be required."
ANZSCO 6,312511,,Mechanical Engineering Draftsperson,Prepares detailed drawings and plans of mechanical engineering work in support of Mechanical Engineers and Engineering Technologists.
ANZSCO 6,312512,,Mechanical Engineering Technician,"Conducts tests of mechanical systems, collects and analyses data, and assembles and installs mechanical assemblies in support of Mechanical Engineers and Engineering Technologists."
ANZSCO 6,313111,,Hardware Technician,"Supports and maintains computer systems and peripherals by installing, configuring, testing, troubleshooting, and repairing hardware."
