Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 4,2333,,Electrical Engineers,"Electrical Engineers design, develop and supervise the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power."
ANZSCO 4,2334,,Electronics Engineers,"Electronics Engineers design, develop, adapt, install, test and maintain electronic components, circuits and systems used for computer, communication, command and warfare systems, entertainment, transport and other industrial applications."
ANZSCO 4,2344,,"Geologists, Geophysicists and Hydrogeologists","Geologists, Geophysicists and Hydrogeologists study the composition, structure and other physical attributes of the earth, locate and advise on the extraction of minerals, petroleum and ground water, and detect, monitor and forecast seismic, magnetic, electrical, thermal and oceanographic activity."
ANZSCO 4,2347,,Veterinarians,"Veterinarians diagnose, treat and prevent animal diseases, ailments and injuries."
ANZSCO 4,2411,,Early Childhood (Pre-primary School) Teachers,"Early Childhood (Pre-primary School) Teachers teach the basics of numeracy, literacy, music, art and literature to early childhood (pre-primary) students and promote students' social, emotional, intellectual and physical development. Note data does not include 241112 Kaiako Kohanga Reo (Māori Language Nest Teacher)."
ANZSCO 4,2412,,Primary School Teachers,"Primary School Teachers teach a range of subjects within a prescribed curriculum to primary school students and promote students' social, emotional, intellectual and physical development. Note data does not include 241211 Kaiako Kura Kaupapa Māori (Māori-medium Primary School Teacher) or 241212 Pouako Kura Kaupapa Māori (Māori-medium Primary School Senior Teacher)."
ANZSCO 4,2413,,Middle School Teachers / Intermediate School Teachers,"Middle School Teachers or Intermediate School Teachers teach one or more subjects within a prescribed curriculum to middle school or intermediate school students and promote students' social, emotional, intellectual and physical development."
ANZSCO 4,2414,,Secondary School Teachers,"Secondary School Teachers teach one or more subjects within a prescribed curriculum to secondary school students and promote students' social, emotional, intellectual and physical development."
ANZSCO 4,2415,,Special Education Teachers,"Special Education Teachers teach primary, middle or intermediate, and secondary school students with learning difficulties, hearing impairment and sight impairment, and promote students' social, emotional, intellectual and physical development."
ANZSCO 4,2422,,Vocational Education Teachers / Polytechnic Teachers,"Vocational Education Teachers / Polytechnic Teachers teach one or more subjects within a prescribed course of study at technical and further education (TAFE) institutes, polytechnics and other training institutes to tertiary students for vocational education and training purposes."
ANZSCO 4,2491,,Education Advisers and Reviewers,"Education Advisers and Reviewers conduct educational research, develop course curricula and associated teaching materials for use by educational institutions, and review and examine the work of teachers and the results from curriculum programs in school settings."
ANZSCO 4,2492,,Private Tutors and Teachers,"Private Tutors and Teachers teach students in the practice, theory and performance of subjects, such as art, dance, drama and music, in private training establishments."
ANZSCO 4,2511,,Nutrition Professionals,Nutrition Professionals apply the science of human nutrition to assist people to attain better health and to help prevent and treat various illnesses and diseases.
ANZSCO 4,2521,,Chiropractors and Osteopaths,"Chiropractors and Osteopaths diagnose and treat physiological and mechanical disorders of the locomotor system and tissue strain, stress and dysfunction that impede normal neural, vascular and biochemical mechanisms, and provide advice on preventing these disorders."
ANZSCO 4,2522,,Complementary Health Therapists,"Complementary Health Therapists treat patients with physical, mental, spiritual and emotional needs by considering the whole person rather than focusing on specific symptoms and by using various therapies, techniques and practices."
ANZSCO 4,2523,,Dental Practitioners,"Dental Practitioners diagnose and treat dental disease, restore normal oral function using a broad range of treatments, such as surgery and other specialist techniques, and advise on oral health."
ANZSCO 4,2524,,Occupational Therapists,"Occupational Therapists assess functional limitations of people resulting from illnesses and disabilities, and provide therapy to enable people to perform their daily activities and occupations."
ANZSCO 4,2525,,Physiotherapists,"Physiotherapists assess, treat and prevent disorders in human movement caused by injury or disease."
ANZSCO 4,2526,,Podiatrists,"Podiatrists prevent, diagnose and treat disorders of the feet."
ANZSCO 4,2527,,Audiologists and Speech Pathologists / Therapists,"Audiologists and Speech Pathologists or Therapists provide diagnostic assessment, treatment, rehabilitative services and management of human hearing defects, and communication and swallowing impairments."
ANZSCO 4,2531,,General Practitioners and Resident Medical Officers,"General Practitioners and Resident Medical Officers diagnose and treat physical and mental illnesses, disorders and injuries, recommend preventative action and refer patients to specialist Medical Practitioners, other health care workers, and social, welfare and support workers."
ANZSCO 4,2532,,Anaesthetists,"Anaesthetists provide direct medical care to patients requiring general or local anaesthesia for surgical, diagnostic and other procedures such as prevention of pain and maintenance of body function."
ANZSCO 4,2533,,Specialist Physicians,"Specialist Physicians diagnose and treat internal human disorders and diseases using specialist testing, diagnostic and medical techniques."
ANZSCO 4,2534,,Psychiatrists,"Psychiatrists diagnose, assess, treat and prevent human mental, emotional and behavioural disorders."
ANZSCO 4,2535,,Surgeons,"Surgeons perform surgery to correct deformities, repair injuries, prevent and treat diseases, and improve human functioning and appearance."
ANZSCO 4,2541,,Midwives,"Midwives provide care and advice to women during pregnancy, labour and childbirth, and postnatal care for women and babies in a range of settings such as the home, community, hospitals, clinics and health units."
ANZSCO 4,2543,,Nurse Managers,"Nurse Managers manage health service units and sub-units of hospitals, aged care and community health care facilities, supervise nursing staff and financial resources to enable the provision of safe, cost effective nursing care within specified fields or for particular units, and monitor quality, clinical standards and professional development of nurses."
ANZSCO 4,2544,,Registered Nurses,"Registered Nurses provide nursing care to patients in hospitals, aged care and other health care facilities, and in the community.  Registration or licensing is required."
ANZSCO 4,2611,,ICT Business and Systems Analysts,"ICT Business and Systems Analysts work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users' business needs."
ANZSCO 4,2613,,Software and Applications Programmers,"Software and Applications Programmers design, develop, test, maintain and document program code in accordance with user requirements, and system and technical specifications."
ANZSCO 4,2621,,"Database and Systems Administrators, and ICT Security Specialists","Database and Systems Administrators, and ICT Security Specialists plan, develop, maintain, manage and administer organisations' database management systems, operating systems and security policies and procedures to ensure optimal database and system integrity, security, backup, reliability and performance."
ANZSCO 4,2632,,ICT Support and Test Engineers,"ICT Support and Test Engineers develop procedures and strategies to support, create, maintain and manage technical quality assurance processes and guidelines and systems infrastructure, investigate, analyse and resolve system problems and performance issues, and test the behaviour, functionality and integrity of systems."
ANZSCO 4,2633,,Telecommunications Engineering Professionals,"Telecommunications Engineering Professionals design, construct, install, service and support telecommunications equipment, systems and facilities."
ANZSCO 4,2711,,Barristers,"Barristers plead cases before civil, criminal and industrial courts and other tribunals."
ANZSCO 4,2712,,Judicial and Other Legal Professionals,"Judicial and Other Legal Professionals hear legal and other matters in courts and tribunals; interpret, analyse, administer and provide advice on the law; and draft legislation."
ANZSCO 4,2713,,Solicitors,"Solicitors provide legal advice, prepare and draft legal documents, and conduct negotiations on behalf of clients on matters associated with the law."
ANZSCO 4,2721,,Counsellors,"Counsellors provide information on vocational, relationship, social and educational difficulties and issues, and work with people to help them to identify and define their emotional issues through therapies such as cognitive behaviour therapy, interpersonal therapy and other talking therapies."
ANZSCO 4,2722,,Ministers of Religion,"Ministers of Religion perform spiritual functions associated with beliefs and practices of religious faiths, and provide motivation, guidance and training in religious life for the people of congregations and parishes, and the wider community."
ANZSCO 4,2724,,Social Professionals,"Social Professionals research and study human behaviour, society and institutions from current and historical perspectives, and verbally render spoken statements, and transcribe text and recorded spoken material from one language into another."
ANZSCO 4,2725,,Social Workers,"Social Workers assess the social needs of individuals, families and groups, assist and empower people to develop and use the skills and resources needed to resolve social and other problems, and further human wellbeing and human rights, social justice and social development."
ANZSCO 4,3124,,Electronic Engineering Draftspersons and Technicians,"Electronic Engineering Draftspersons and Technicians assist in electronic engineering research, design, manufacture, assembly, construction, operation and maintenance of equipment, facilities and systems."
ANZSCO 4,3132,,Telecommunications Technical Specialists,"Telecommunications Technical Specialists develop, monitor and carry out technical support functions for telecommunications networks and install computer equipment, computer systems and microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communication systems."
ANZSCO 4,3211,,Automotive Electricians,"Automotive Electricians install, maintain and repair electrical wiring and electronic components in motor vehicles."
ANZSCO 4,3221,,"Metal Casting, Forging and Finishing Trades Workers","Metal Casting, Forging and Finishing Trades Workers fabricate mould patterns and form sand moulds and cores for the production of metal castings, heat and hammer metal into shape, and make, repair, coat and polish metal parts and articles."
ANZSCO 4,3222,,Sheetmetal Trades Workers,"Sheetmetal Trades Workers mark out, shape, form and join sheetmetal and other materials to make products and components."
ANZSCO 4,3233,,Precision Metal Trades Workers,"Assembles, calibrates, installs and overhauls mechanical precision instruments and equipment."
ANZSCO 4,3241,,Panelbeaters,"Panelbeaters repair damage to metal, fibreglass and plastic body work on vehicles, and form replacement vehicle panels."
